Country,ISO3,WCI,Population,GDP,WCI_per_capita,WCI_per_GDP,Country_clean,respondents_nat,respondents_res
Russia,RUS,58.391304347826086,144373535.0,1699876578871.0,4.0444603886596035e-07,3.435031994299704e-11,Russia,2,2
Ukraine,UKR,36.442028985507235,44385155.0,153781069118.0,8.210409310389304e-07,2.3697344019337237e-10,Ukraine,3,2
China,CHN,27.86231884057971,1397715000.0,19910000000000.0,1.9934191763399346e-08,1.3994133018874792e-12,China,0,1
United States,USA,25.00724637681159,328239523.0,21427700000000.0,7.61859697706531e-08,1.167052291044377e-12,United States,24,25
Nigeria,NGA,21.282608695652176,200963599.0,448120428859.0,1.0590280429667352e-07,4.749305616314291e-11,Nigeria,4,3
Romania,ROU,14.826086956521738,19356544.0,250077444017.0,7.6594700771593e-07,5.928598244755683e-11,Romania,2,1
"Korea, North",,10.405797101449275,,,,,"Korea, North",0,0
United Kingdom,GBR,9.01449275362319,66834405.0,2827113184696.0,1.3487802806987193e-07,3.188585728516745e-12,United Kingdom,17,13
Brazil,BRA,8.934782608695652,212559417.0,1839758040766.0,4.2034282624587995e-08,4.856498740984208e-12,Brazil,2,2
India,IND,6.130434782608695,1366417754.0,2611000000000.0,4.4865011191948375e-09,2.3479259987011473e-12,India,0,0
Iran,IRN,4.77536231884058,82913906.0,445345282123.0,5.7594226942348855e-08,1.0722831273918539e-11,Iran,0,0
Ghana,GHA,3.579710144927536,30792608.0,66983634224.0,1.1625225589620523e-07,5.344156354605403e-11,Ghana,0,1
South Africa,ZAF,2.579710144927536,58558270.0,351431649241.0,4.4053728788906097e-08,7.340574335006629e-12,South Africa,0,0
Moldova,MDA,2.565217391304349,2657637.0,11955435457.0,9.652248938829305e-07,2.1456494834760654e-10,Moldova,0,0
Israel,ISR,2.5072463768115942,9053300.0,395098666122.0,2.769428138702566e-07,6.3458740608286366e-12,Israel,4,3
Poland,POL,2.217391304347826,37970874.0,592164400688.0,5.8397162634387254e-08,3.744553542515513e-12,Poland,2,2
Netherlands,NLD,1.920289855072464,17332850.0,909070395161.0,1.1078904248709612e-07,2.11236650681202e-12,Netherlands,3,1
Latvia,LVA,1.6811594202898554,1912789.0,34117202555.0,8.789047931004703e-07,4.927600431423635e-11,Latvia,0,0
Vietnam,VNM,1.5942028985507248,96462106.0,261921244843.0,1.6526727070946645e-08,6.0865734641201665e-12,Vietnam,0,0
Malaysia,MYS,1.326086956521739,32447385.0,364701517788.0,4.08688390920174e-08,3.636088395147809e-12,Malaysia,0,0
France,FRA,1.1666666666666667,67059887.0,2715518274227.0,1.739738491755387e-08,4.296294662199504e-13,France,0,1
Bulgaria,BGR,1.072463768115942,6975761.0,86000000000.0,1.537414725240647e-07,1.247050893158072e-11,Bulgaria,1,1
Afghanistan,AFG,,38041754.0,19101353833.0,,,Afghanistan,0,0
Algeria,DZA,,43053054.0,169988236398.0,,,Algeria,0,0
Angola,AGO,,31825295.0,94635415870.0,,,Angola,0,0
Argentina,ARG,,44938712.0,449663446954.0,,,Argentina,0,0
Armenia,ARM,,2957731.0,13672802158.0,,,Armenia,0,0
Australia,AUS,,25766605.0,1392680589329.0,,,Australia,6,5
Azerbaijan,AZE,,10023318.0,39207000000.0,,,Azerbaijan,0,0
Belarus,BLR,,9466856.0,63080457023.0,,,Belarus,0,0
Belgium,BEL,,11484055.0,529606710418.0,,,Belgium,0,0
Belize,BLZ,,390353.0,1879613600.0,,,Belize,0,0
Benin,BEN,,11801151.0,14390709095.0,,,Benin,1,0
Bosnia and Herzegovina,BIH,,3301000.0,20047848435.0,,,Bosnia and Herzegovina,2,2
Botswana,BWA,,2346179.0,18340510789.0,,,Botswana,0,0
Cambodia,KHM,,16486542.0,27089389787.0,,,Cambodia,0,0
Cameroon,CMR,,25876380.0,38760467033.0,,,Cameroon,0,0
Canada,CAN,,36991981.0,1736425629520.0,,,Canada,2,1
Central African Republic,CAF,,4745185.0,2220307369.0,,,Central African Republic,0,0
Chile,CHL,,18952038.0,282318159745.0,,,Chile,0,0
Colombia,COL,,50339443.0,323802808108.0,,,Colombia,0,0
Cuba,CUB,,11333483.0,100023000000.0,,,Cuba,0,0
Cyprus,CYP,,1198575.0,24564647935.0,,,Cyprus,0,0
Czech Republic,CZE,,10669709.0,246489245495.0,,,Czech Republic,0,0
Dominican Republic,DOM,,10738958.0,88941298258.0,,,Dominican Republic,0,0
Ecuador,ECU,,17373662.0,107435665000.0,,,Ecuador,0,0
Egypt,EGY,,100388073.0,303175127598.0,,,Egypt,0,0
Equatorial Guinea,GNQ,,1355986.0,11026774945.0,,,Equatorial Guinea,0,0
Estonia,EST,,1331824.0,31386949981.0,,,Estonia,0,0
Ethiopia,ETH,,112078730.0,96107662398.0,,,Ethiopia,0,0
Gambia,,,,,,,Gambia,1,1
Georgia,GEO,,3720382.0,17743195770.0,,,Georgia,0,0
Germany,DEU,,83132799.0,3845630030824.0,,,Germany,2,4
Greece,GRC,,10716322.0,209852761469.0,,,Greece,0,0
Guinea-Bissau,GNB,,1920922.0,1340389411.0,,,Guinea-Bissau,0,0
Haiti,HTI,,11263077.0,8498981821.0,,,Haiti,0,0
Hungary,HUN,,9769949.0,160967157504.0,,,Hungary,0,0
Indonesia,IDN,,270203917.0,1119190780753.0,,,Indonesia,0,0
Italy,ITA,,60297396.0,2001244392042.0,,,Italy,1,1
Ivory Coast,CIV,,25716544.0,58792205642.0,,,Ivory Coast,0,0
Jamaica,JAM,,2948279.0,16458071068.0,,,Jamaica,0,0
Japan,JPN,,126226568.0,5081769542380.0,,,Japan,0,0
Kazakhstan,KAZ,,18513930.0,180161741180.0,,,Kazakhstan,0,0
Kenya,KEN,,52573973.0,95503088538.0,,,Kenya,1,0
Korea North,,,,,,,Korea North,0,0
"Korea, South",,,,,,,"Korea, South",1,1
Laos,LAO,,7169455.0,18173839128.0,,,Laos,0,0
Lebanon,LBN,,6855713.0,53367042272.0,,,Lebanon,0,0
Lithuania,LTU,,2786844.0,54219315600.0,,,Lithuania,0,0
Luxembourg,LUX,,645397.0,71104919108.0,,,Luxembourg,0,0
Mali,MLI,,19658031.0,17510141171.0,,,Mali,0,0
Malta,MLT,,502653.0,14786156563.0,,,Malta,0,0
Mauritius,MUS,,1265711.0,14180444557.0,,,Mauritius,0,0
Mexico,MEX,,126014024.0,1258286717125.0,,,Mexico,0,0
Morocco,MAR,,36910560.0,118725279596.0,,,Morocco,0,1
Mozambique,MOZ,,30366036.0,14934159926.0,,,Mozambique,0,0
Myanmar,MMR,,54045420.0,76085852617.0,,,Myanmar,0,0
Pakistan,PAK,,216565318.0,304400000000.0,,,Pakistan,0,0
Panama,PAN,,4246439.0,66800800000.0,,,Panama,0,0
Peru,PER,,32510453.0,226848050820.0,,,Peru,1,1
Philippines,PHL,,108116615.0,376795508680.0,,,Philippines,0,0
Senegal,SEN,,16296364.0,23578084052.0,,,Senegal,0,0
Serbia,SRB,,6944975.0,51409167351.0,,,Serbia,0,0
Seychelles,SYC,,97625.0,1698843063.0,,,Seychelles,0,0
Sierra Leone,SLE,,7813215.0,3941474311.0,,,Sierra Leone,0,0
Slovenia,SVN,,2087946.0,53742159517.0,,,Slovenia,0,0
Spain,ESP,,47076781.0,1394116310769.0,,,Spain,0,1
Sweden,SWE,,10285453.0,530832908738.0,,,Sweden,1,1
Switzerland,CHE,,8574832.0,703082435360.0,,,Switzerland,0,3
Syria,SYR,,17070135.0,40405006007.0,,,Syria,0,0
Thailand,THA,,69625582.0,543649976166.0,,,Thailand,0,2
Togo,,,8082366.0,5459979417.0,,,Togo,0,0
Tunisia,TUN,,11694719.0,38797709924.0,,,Tunisia,0,0
Turkey,TUR,,83429615.0,754411708203.0,,,Turkey,0,1
Uganda,UGA,,44269594.0,34387229486.0,,,Uganda,0,0
United Arab Emirates,ARE,,9770529.0,421142267938.0,,,United Arab Emirates,0,1
Venezuela,VEN,,28515829.0,482359318768.0,,,Venezuela,0,0
Zambia,ZMB,,17861030.0,23064722446.0,,,Zambia,0,0
